chemblId,STATUS,MW,LogP,nHAcc,nHDon
CHEMBL1521410,inactive,476.581,4.35392,9,1
CHEMBL1538223,intermediate,387.443,4.834,5,1
CHEMBL153405,active,482.032,3.3638,8,3
CHEMBL327320,active,449.572,5.5395,6,2
CHEMBL178559,active,473.613,6.3736,5,2
CHEMBL180973,active,569.082,6.8263,6,2
CHEMBL1528123,inactive,413.451,3.22062,6,1
CHEMBL1536373,inactive,486.351,3.3903,9,0
CHEMBL1386676,inactive,376.463,3.01924,7,2
CHEMBL144431,active,326.395,4.6886,2,2
CHEMBL1580036,inactive,280.301,2.26012,4,1
CHEMBL189658,active,270.219,2.91678,5,2
CHEMBL188619,intermediate,227.219,2.906,4,2
CHEMBL1525824,inactive,485.29,3.9968,6,1
CHEMBL1522300,intermediate,445.475,3.0468,5,0
CHEMBL193064,active,282.314,4.6195,2,2
CHEMBL186513,active,252.229,2.77768,5,2
CHEMBL1495194,inactive,314.366,3.3417,5,1
CHEMBL1606490,inactive,379.272,4.7654,6,0
CHEMBL1548186,inactive,392.77,3.50872,6,1
CHEMBL2079587,active,328.5,4.1181,2,2
CHEMBL180253,active,459.586,5.9835,5,2
CHEMBL93705,active,463.599,5.9296,6,2
CHEMBL190104,active,298.363,3.9155,4,2
CHEMBL1548834,inactive,351.358,3.5451,5,1
CHEMBL188527,intermediate,261.28,4.3536,3,1
CHEMBL360498,active,534.637,6.1729,6,2
CHEMBL1501269,inactive,321.804,3.69232,4,1
CHEMBL1560367,inactive,356.451,2.961,5,0
CHEMBL1427879,intermediate,347.396,2.39812,7,2
CHEMBL1544241,inactive,353.378,3.36022,5,3
CHEMBL577758,intermediate,285.328,3.35882,5,1
CHEMBL186597,active,257.245,2.92002,5,3
CHEMBL145576,active,340.422,5.0787,2,2
CHEMBL361258,active,290.702,4.173,4,2
CHEMBL363367,active,270.715,4.5714,2,2
CHEMBL181369,active,463.549,5.7325,5,2
CHEMBL57150,active,244.334,3.2145,2,2
CHEMBL433944,active,335.153,4.2821,4,2
CHEMBL371624,active,261.28,3.78968,3,2
CHEMBL188613,intermediate,289.237,3.8272,4,2
CHEMBL371788,active,268.268,2.9304,4,3
CHEMBL189200,active,311.381,4.811,4,2
CHEMBL186073,intermediate,243.218,2.6116,5,3
CHEMBL187087,active,243.218,2.6116,5,3
CHEMBL200021,active,305.255,4.733,3,1
CHEMBL193010,intermediate,236.27,3.918,2,2
CHEMBL363963,active,289.237,3.8272,4,2
CHEMBL450940,intermediate,271.247,3.6881,4,2
CHEMBL365045,intermediate,311.268,4.3051,5,2
CHEMBL188410,intermediate,261.664,3.5594,4,2
CHEMBL201569,intermediate,336.903,4.4036,2,2
CHEMBL380876,intermediate,332.484,3.8112,3,2
CHEMBL441537,active,307.187,3.8136,2,1
CHEMBL377694,active,321.214,4.2037,2,1
CHEMBL192386,active,254.26,4.0571,2,2
CHEMBL362020,active,579.634,6.0811,8,2
CHEMBL183152,active,299.713,4.23048,4,2
CHEMBL192587,active,347.164,3.5659,4,2
CHEMBL370849,active,458.583,5.9433,6,2
CHEMBL178679,active,541.072,7.1905,6,2
CHEMBL185126,active,258.248,3.95852,3,2
CHEMBL185918,active,277.279,4.0592,4,2
CHEMBL264216,active,486.637,6.7235,6,2
CHEMBL1337826,inactive,414.509,3.846,4,2
CHEMBL1480378,inactive,388.474,2.82852,6,2
CHEMBL1481770,intermediate,366.402,3.2773,8,0
CHEMBL198679,active,265.312,3.8754,3,2
CHEMBL121978,active,434.561,4.8167,6,2
CHEMBL371009,intermediate,280.258,3.32378,4,2
CHEMBL334096,active,417.53,5.4416,5,3
CHEMBL192539,active,393.531,4.451,5,2
CHEMBL186598,active,297.354,4.4209,4,2
CHEMBL180146,active,477.576,6.1226,5,2
CHEMBL377224,active,342.394,4.753,3,1
CHEMBL213051,intermediate,309.413,4.2171,3,1
CHEMBL377848,active,309.413,4.2171,3,1
CHEMBL264349,active,328.415,4.4845,2,1
CHEMBL378675,active,322.404,4.9916,3,1
CHEMBL1402,active,421.968,5.9206,3,1
CHEMBL369935,active,447.644,6.4349,4,1
CHEMBL216279,active,342.391,4.0985,5,3
CHEMBL219126,active,362.381,4.1007,5,3
CHEMBL381566,active,326.48,3.8405,2,2
CHEMBL209429,active,338.472,5.4601,3,1
CHEMBL379109,active,290.79,4.4377,2,1
CHEMBL379821,active,382.241,4.6339,2,1
CHEMBL426854,intermediate,319.154,3.9767,3,1
CHEMBL202896,intermediate,284.311,3.53122,4,1
CHEMBL179518,active,472.61,5.7425,6,2
CHEMBL187069,active,227.219,2.906,4,2
CHEMBL363425,active,272.25,4.1962,2,2
CHEMBL597498,active,353.466,3.2646,5,2
CHEMBL1116,active,473.594,6.0752,6,2
CHEMBL206226,intermediate,242.23,2.66582,4,2
CHEMBL378990,intermediate,317.186,3.5942,2,1
CHEMBL211800,active,371.278,4.7645,2,1
CHEMBL379567,active,280.327,3.292,3,1
CHEMBL379595,active,345.196,3.6245,3,1
CHEMBL211870,active,349.203,4.1234,2,1
CHEMBL187937,active,251.241,2.8873,4,2
CHEMBL204768,intermediate,311.12,3.97262,4,2
CHEMBL205350,intermediate,321.126,3.42832,4,2
CHEMBL380717,active,270.284,3.28266,4,2
CHEMBL206582,intermediate,242.274,3.27404,3,2
CHEMBL362355,active,356.175,4.8217,4,2
CHEMBL221676,active,368.358,5.476,3,1
CHEMBL363955,active,253.257,3.549,4,2
CHEMBL206764,inactive,288.234,1.6416,6,3
CHEMBL206131,intermediate,304.689,2.1559,6,3
CHEMBL381720,inactive,284.271,1.81092,6,3
CHEMBL202894,inactive,298.298,2.0649,6,3
CHEMBL206349,inactive,302.311,2.16509,6,4
CHEMBL206773,inactive,286.243,0.7958,6,4
CHEMBL379008,active,282.383,4.1172,2,1
CHEMBL192016,active,278.282,4.0384,2,2
CHEMBL191841,active,284.336,3.5254,4,2
CHEMBL238960,active,553.747,6.8654,4,3
CHEMBL238961,active,629.845,7.997,5,2
CHEMBL184360,active,503.664,6.8507,6,2
CHEMBL180176,active,551.624,6.4453,8,2
CHEMBL437695,active,427.588,5.9747,3,1
CHEMBL1276308,inactive,429.604,5.4065,3,1
CHEMBL1485005,inactive,297.376,3.3484,3,1
CHEMBL1521111,inactive,487.965,3.7463,8,1
CHEMBL1327977,inactive,425.868,4.1774,5,1
CHEMBL388418,active,266.3,3.45262,4,2
CHEMBL396948,intermediate,305.289,3.0516,4,2
CHEMBL1433745,active,458.587,4.34129,5,1
CHEMBL1475062,active,450.608,4.72259,5,2
CHEMBL1597831,active,540.733,6.31729,5,1
CHEMBL471627,active,445.534,5.7475,4,1
CHEMBL1362841,inactive,218.281,2.3243,3,1
CHEMBL1429150,intermediate,425.832,2.9576,8,2
CHEMBL1548361,inactive,432.253,2.2291,5,0
CHEMBL375334,active,256.261,2.3571,5,3
CHEMBL222522,active,332.325,4.92212,3,1
